,Station Name,Station ID,Number of Customers,Average Trip Duration (min),Latitude,Longitude,Year
51,Broadway & W 36 St,267.0,24560,774.2425488599348,40.75097711000123,-73.98765427997185,2014
52,Broadway & W 37 St,362.0,22971,778.7311392625485,40.75172632001139,-73.98753522995591,2014
53,Broadway & W 39 St,533.0,22805,806.1236570927429,40.75299641000872,-73.98721618998292,2014
54,Broadway & W 41 St,465.0,43369,745.6823768129309,40.755135569970534,-73.9865803200448,2014
55,Broadway & W 49 St,173.0,33279,800.1820667688332,40.76064679001607,-73.98442658999028,2014
56,Broadway & W 51 St,500.0,26226,868.4695340501792,40.76228826001771,-73.9833618300035,2014
57,Broadway & W 53 St,469.0,21942,871.8699298149668,40.76344057999256,-73.98268129001254,2014
58,Broadway & W 55 St,468.0,25443,942.169005227371,40.765265400026465,-73.98192337998421,2014
59,Broadway & W 58 St,457.0,41576,1148.9596642293632,40.766953170011824,-73.98169333006273,2014
60,Broadway & W 60 St,499.0,56115,1318.7074400784104,40.76915504998961,-73.98191840995483,2014
61,Bus Slip & State St,427.0,13050,1424.6098084291189,40.70190699999281,-74.01394199999207,2014
62,Cadman Plaza E & Red Cross Pl,321.0,5968,1145.1127680965149,40.699917549996584,-73.989717729989,2014
63,Cadman Plaza E & Tillary St,232.0,8193,1130.4553887464908,40.695976829994066,-73.99014891999326,2014
64,Cadman Plaza West & Montague St,314.0,8576,904.0531716417911,40.69383000000277,-73.99053900001063,2014
65,Canal St & Rutgers St,307.0,30332,748.6202690228142,40.71427486999894,-73.98990024998865,2014
66,Carlton Ave & Park Ave,419.0,2988,734.4277108433735,40.69580704999777,-73.97355568999815,2014
67,Carmine St & 6 Ave,368.0,52596,816.1620275306107,40.730385990053016,-74.00214987995632,2014
68,Catherine St & Monroe St,2009.0,13610,839.9997795738427,40.71117443999137,-73.9968261900126,2014
69,Central Park S & 6 Ave,2006.0,32894,1996.4001641636773,40.76590936001786,-73.97634151000106,2014
70,Centre St & Chambers St,387.0,42485,1115.2397787454395,40.71273265995618,-74.00460729995585,2014
71,Centre St & Worth St,386.0,19714,997.2516992999898,40.7149480700026,-74.00234481996988,2014
72,Cherry St,332.0,12352,1082.2138115284974,40.71219906000977,-73.97948147999311,2014
73,Christopher St & Greenwich St,358.0,55320,853.1966738973247,40.732915529983956,-74.00711383997103,2014
74,Church St & Leonard St,320.0,710,656.4859154929577,40.71743997999958,-74.0058347500011,2014
75,Clark St & Henry St,391.0,12046,781.9413083181139,40.69760126999246,-73.99344559001399,2014
76,Clermont Ave & Lafayette Ave,420.0,5292,786.8548752834467,40.68764484000555,-73.96968902000904,2014
77,Clermont Ave & Park Ave,421.0,4137,811.5223591974861,40.69573398000247,-73.97129668000395,2014
78,Cleveland Pl & Spring St,151.0,60092,791.5595586766957,40.721815799990694,-73.99720307007019,2014
79,Cliff St & Fulton St,306.0,23684,908.1718459719642,40.70823502002061,-74.00530062995365,2014
80,Clinton Ave & Flushing Ave,343.0,4427,1200.0546645583918,40.69794000000233,-73.96986847999622,2014
81,Clinton Ave & Myrtle Ave,366.0,13420,684.0329359165424,40.69326099998987,-73.96889599997786,2014
82,Clinton St & Grand St,350.0,18730,759.2294180459156,40.71559508998639,-73.98702950000262,2014
83,Clinton St & Joralemon St,143.0,8109,952.3096559378469,40.692395020002614,-73.99337908999146,2014
84,Clinton St & Tillary St,322.0,6336,1204.4387626262626,40.696192000002625,-73.99121800000684,2014
85,Columbia Heights & Cranberry St,216.0,5459,1136.3436526836417,40.700378670001456,-73.995480589994,2014
86,Columbia St & Rivington St,342.0,12474,806.8327721661055,40.717399729998036,-73.98016555001297,2014
87,Concord St & Bridge St,278.0,4456,931.9129263913824,40.697665639999585,-73.98476437000103,2014
88,Cumberland St & Lafayette Ave,416.0,8219,738.9052196130916,40.6875340599984,-73.97265182999321,2014
89,DeKalb Ave & Hudson Ave,324.0,12403,638.3637023300814,40.68988800000843,-73.98101300000948,2014
90,DeKalb Ave & S Portland Ave,241.0,6833,700.4146055905167,40.68981035000665,-73.97493120999198,2014
91,DeKalb Ave & Skillman St,409.0,3548,1066.458004509583,40.690649500000276,-73.95643106999522,2014
92,DeKalb Ave & Vanderbilt Ave,258.0,7775,662.2886173633441,40.68940746999694,-73.96885458000119,2014
93,Dean St & 4 Ave,467.0,11396,1384.8038785538786,40.68312489001084,-73.97895136999485,2014
94,Division St & Bowery,296.0,19385,801.3608976012381,40.714130889983146,-73.99704680001659,2014
