,gender,average trip duration,average birth year,count,percentage,year,month
47,unknown,1965.599807150498,1964.3396226415093,66373,10.173822406842532,2015,April
48,female,911.139748432404,1977.531338487908,186113,19.34674724995998,2015,May
49,male,782.3455239824541,1975.8609043764875,608007,63.20331065109056,2015,May
50,unknown,1888.1987656821511,1972.1583850931677,167866,17.449942098949464,2015,May
51,female,880.4882404388964,1977.4904402215684,188655,20.04368802584733,2015,June
52,male,743.4272407419027,1975.886387914669,621591,66.04105951962296,2015,June
53,unknown,1704.2683301138402,1971.472972972973,130973,13.91525245452971,2015,June
54,female,907.7572335042925,1978.0021381404629,217011,19.988560122909597,2015,July
55,male,762.4653236426071,1976.2326832079063,687255,63.302034861229316,2015,July
56,unknown,1816.7398930599195,1968.9312977099237,181410,16.709405015861087,2015,July
57,female,946.4441482937908,1978.5456352149022,235991,20.015453197675402,2015,August
58,male,784.1185108924739,1976.6971314875916,720727,61.12808343030455,2015,August
59,unknown,1849.3762987684752,1970.6172932330828,222326,18.856463372020045,2015,August
60,female,1009.7487082405345,1978.7728173719377,269400,20.88859493571756,2015,September
61,male,828.3653170211661,1976.8271205809892,808558,62.69354322210066,2015,September
62,unknown,1952.7265243859242,1973.125458996328,211741,16.41786184218178,2015,September
63,female,1086.972417365027,1978.261585251877,256792,21.18261750408529,2015,October
64,male,854.8282461711542,1976.6012097693458,807097,66.57694569805416,2015,October
65,unknown,2292.2854880448554,1973.5380927011188,148388,12.240436797860553,2015,October
66,female,923.2593749553573,1978.0259760667807,210001,21.271416922850964,2015,November
67,male,802.9237307729932,1976.3378835240114,674702,68.34190094657355,2015,November
68,unknown,2184.47985215814,1973.6855087358686,102542,10.38668213057549,2015,November
69,female,892.7071612329294,1977.319959367186,166368,20.689320690191202,2015,December
70,male,769.428285327622,1975.9925857617764,568231,70.66451111456551,2015,December
71,unknown,2513.2964214826106,1969.8938750758034,69526,8.646168195243277,2015,December
72,female,900.3791895229616,1977.2916702566606,104457,20.502749873399832,2016,January
73,male,728.1694954575893,1975.6550623233645,379314,74.45149741500123,2016,January
74,unknown,2387.678336639826,1971.183848797251,25707,5.04575271159893,2016,January
75,female,894.7671933704602,1977.6492579072185,112587,20.073492442152784,2016,February
76,male,744.9199814963952,1976.132840382057,417216,74.38676066282267,2016,February
77,unknown,2587.8815937691093,1971.0449438202247,31071,5.539746895024551,2016,February
78,female,981.659602940945,1978.014389848387,190551,20.713843906161507,2016,March
79,male,806.9116976943295,1976.415213161488,634219,68.94276791159241,2016,March
80,unknown,2515.0672720202624,1972.6152639832724,95151,10.343388182246084,2016,March
81,female,972.8670863396445,1978.409989831001,206510,20.382984141523114,2016,April
82,male,827.9638453596625,1976.9128443156853,674132,66.53828805042497,2016,April
83,unknown,2486.0038262129547,1970.2688540646425,132507,13.078727808051926,2016,April
84,female,971.8937950025415,1978.4885862843282,249847,20.609677632230177,2016,May
85,male,826.7231802562895,1977.0572715892952,783723,64.64867852311346,2016,May
86,unknown,2155.4194896760114,1972.5981155264235,178710,14.741643844656348,2016,May
87,female,933.539336592312,1978.9180290868633,314618,21.544485516168397,2016,June
88,male,795.5792610589954,1977.2563622450325,947464,64.88066297888541,2016,June
89,unknown,2007.05466716439,1973.1407455012854,198236,13.574851504946183,2016,June
90,female,913.2189088387562,1979.5527066198479,297078,21.525675489634885,2016,July
91,male,800.4244872017234,1977.7732819209575,876368,63.49986595271392,2016,July
92,unknown,1973.245596717377,1973.1321349731945,206664,14.974458557651202,2016,July
93,female,954.1263203460654,1979.7879226967775,339589,21.801185493909784,2016,August
94,male,799.7070935559422,1978.0122862168257,999541,64.16927153049151,2016,August
95,unknown,1846.8789473443371,1974.8957239309827,218533,14.029542975598702,2016,August
96,female,939.1940755488592,1979.608032547802,371680,22.541689510788085,2016,September
97,male,792.4177124179915,1977.934041492394,1057055,64.10838787620023,2016,September
98,unknown,1705.0799015087157,1975.7475479744137,220121,13.349922613011689,2016,September
99,female,947.8649308745435,1979.4061411076627,357032,22.684945154370876,2016,October
100,male,787.2334013767548,1977.8975013446495,1044921,66.3917396077953,2016,October
101,unknown,1719.6784183249088,1976.1037902159542,171919,10.923315237833826,2016,October
102,female,892.0482929589208,1978.8282142817259,268652,22.44486366089585,2016,November
103,male,758.756220666066,1977.5333690848458,827966,69.17344365892416,2016,November
104,unknown,1831.7451556955464,1975.8450774612693,100324,8.381692680179992,2016,November
105,female,769.0716253284439,1977.8925065256058,173165,21.320697569047713,2016,December
106,male,703.2265347921988,1976.8762497800053,596628,73.45898506757023,2016,December
107,unknown,1827.52847944527,1975.7146009562339,42399,5.220317363382057,2016,December
108,female,802.3194219305584,1977.8535702146573,152992,21.05367453996004,2017,January
109,male,698.7934867463075,1976.9205388336345,541849,74.5654184258184,2017,January
110,unknown,2006.9565258363436,1976.2475675675676,31835,4.380907034221579,2017,January
111,female,845.5466833541927,1978.6710173191675,171785,21.699696960892922,2017,February
112,male,721.0237406752559,1977.4408531516808,567844,71.72944506831959,2017,February
113,unknown,1707.6367795763006,1976.76,52018,6.570857970787484,2017,February
114,female,839.6651463420991,1978.4377121708706,153476,21.091573732418077,2017,March
115,male,700.5265066793379,1977.4013253515245,538751,74.03832807679358,2017,March
116,unknown,1925.1544387380777,1976.8580694391453,35438,4.870098190788343,2017,March
117,female,1073.059316231593,1979.6402720908732,287729,21.87381215200805,2017,April
118,male,883.5786744372125,1978.2583744147794,854852,64.98779082319956,2017,April
119,unknown,2107.7608130862213,1976.9053926206243,172823,13.138397024792384,2017,April
120,female,978.5219234667421,1979.6264872095558,339408,22.281568312338997,2017,May
121,male,828.8613646301228,1978.251807412104,1006280,66.06060128618208,2017,May
122,unknown,1867.448783646807,1977.4074926747594,177580,11.657830401478925,2017,May
